sequence,fps,frames,left_arm__shape_mean_deg,left_arm__elbow_p95_deg,left_arm__upper_ori_p95_deg,left_arm__hand_ori_p95_deg,left_arm__limit_occupancy,left_arm__limit_longest_frames,left_arm__limit_longest_sec,left_arm__score,left_arm__status,right_arm__shape_mean_deg,right_arm__elbow_p95_deg,right_arm__upper_ori_p95_deg,right_arm__hand_ori_p95_deg,right_arm__limit_occupancy,right_arm__limit_longest_frames,right_arm__limit_longest_sec,right_arm__score,right_arm__status,waist__torso_ori_mean_deg,waist__torso_ori_p95_deg,waist__limit_occupancy,waist__limit_longest_frames,waist__limit_longest_sec,waist__score,waist__status,sequence_status,repair_region
gLH_sBM_c01_d16_mLH0_ch04,30.0,359,13.448896868402848,35.99750022494783,21.302387858872578,17.310534555273865,0.0,0,0.0,0.9330385218098755,GOOD,16.181926359776277,39.661955712024444,30.875209647275202,27.014328745839133,0.06406685236768803,16,0.5333333333333333,2.4379349390648235,GOOD,5.337641922399873,9.818518633271818,0.0,0,0.0,0.05816746111913948,GOOD,GOOD,none
gLH_sBM_c01_d16_mLH0_ch06,30.0,359,12.861104114676563,19.341735744578347,14.850413104582897,13.99508733483793,0.002785515320334262,1,0.03333333333333333,0.0,GOOD,13.429981736625066,15.848781883562,14.423856875530873,17.362207123104817,0.03899721448467967,8,0.26666666666666666,0.18428214105759677,GOOD,5.911225971728078,11.482660819073766,0.0,0,0.0,0.2810970791687898,GOOD,GOOD,none
gLH_sBM_c01_d16_mLH0_ch08,30.0,359,12.356065788235885,26.208274518518625,17.852589194653266,12.67332858359603,0.0,0,0.0,0.15277071247434043,GOOD,13.08639738977435,24.257141453531847,22.767413871638514,18.113927512966043,0.0,0,0.0,0.8516064699721128,GOOD,2.885610842094456,4.646061110075046,0.0,0,0.0,0.0,GOOD,GOOD,none
gLH_sBM_c01_d16_mLH0_ch09,30.0,359,12.048949453232341,16.262944746973034,12.180968202551544,10.721454546102176,0.0,0,0.0,0.0,GOOD,14.090447103852295,14.850655954570833,12.476278383834217,12.557442184991803,0.0,0,0.0,0.2618431431927501,GOOD,3.6453876565690195,7.494713182394903,0.0,0,0.0,0.0,GOOD,GOOD,none
gLH_sBM_c01_d16_mLH0_ch10,30.0,359,11.692092130170264,20.402019449389297,13.198517093619149,11.244886646625305,0.0,0,0.0,0.0,GOOD,13.29109127774362,19.970659884843577,12.569816310551497,12.743731855886608,0.0,0,0.0,0.14645234251049993,GOOD,3.815104444444781,6.969868512073485,0.0,0,0.0,0.0,GOOD,GOOD,none
gLO_sBM_c01_d13_mLO0_ch03,30.0,359,13.340179187551028,18.30287597807096,9.905635767369027,13.758049606752111,0.19498607242339833,70,2.3333333333333335,0.04704588770684004,GOOD,12.475961609689314,17.436297888362514,14.111889432344332,10.832431303538371,0.011142061281337047,3,0.1,0.0,GOOD,4.54645242663836,5.940225122582816,0.0,0,0.0,0.0,GOOD,GOOD,none
gLO_sBM_c01_d13_mLO0_ch04,30.0,359,15.13841674131257,22.513722342726982,17.72463386757492,20.687486679935112,0.013927576601671309,5,0.16666666666666666,0.8569693213034799,GOOD,14.12937355968135,13.318822045277232,14.256519937328946,14.731048188892693,0.0,0,0.0,0.2734568019265361,GOOD,8.260488445090855,11.49577390925875,0.0,0,0.0,0.6699262830959591,GOOD,GOOD,none
gLO_sBM_c01_d13_mLO0_ch05,30.0,359,12.960928798110636,28.335013200644894,18.45997735204793,22.44054979333865,0.0,0,0.0,0.7146652798925668,GOOD,13.330294362353854,23.30262375106521,12.477721330427983,15.170528998526514,0.0,0,0.0,0.3832510446289735,GOOD,3.8894983110689862,5.932939469329693,0.0,0,0.0,0.0,GOOD,GOOD,none
gLO_sBM_c01_d13_mLO0_ch06,30.0,359,12.242936572372638,23.900771465841895,23.364094359816253,22.466346402229625,0.0,0,0.0,0.8381898455144537,GOOD,13.179412420000169,24.424772053640265,21.696774165991187,23.714436784120892,0.0,0,0.0,1.0457503490296833,GOOD,4.3769662265907066,9.047127399874435,0.1392757660167131,14,0.4666666666666667,0.0,GOOD,GOOD,none
gLO_sBM_c01_d13_mLO0_ch07,30.0,359,13.971445546259801,28.49478101469484,22.60152521105675,20.201340665437975,0.0,0,0.0,0.6106597288819702,GOOD,13.388294423896589,18.478010162135128,19.225653843990766,17.12465046528081,0.0,0,0.0,0.30128969791352755,GOOD,5.044835071097897,9.409959877635764,0.116991643454039,9,0.3,0.002619390040801584,GOOD,GOOD,none
gLO_sBM_c01_d13_mLO0_ch08,30.0,359,12.622420188929071,29.06894643195899,22.144635809472366,18.809133379626786,0.0,0,0.0,0.5985125571753585,GOOD,12.929983801933574,17.395158406770516,19.172790209291055,18.562457954199427,0.0,0,0.0,0.4114157657005606,GOOD,4.0998754774075445,7.6837973326969005,0.03064066852367688,8,0.26666666666666666,0.0,GOOD,GOOD,none
gLO_sBM_c01_d13_mLO0_ch09,30.0,359,14.169492769460579,23.601943692136302,21.623475064965323,17.543148177631284,0.0,0,0.0,0.537603077863178,GOOD,10.72788906620316,17.127577707681656,17.170471378240336,16.227665837294435,0.0,0,0.0,0.09206713339901053,GOOD,5.391958137576384,8.152373893611054,0.07520891364902507,9,0.3,0.05992282589489399,GOOD,GOOD,none
gLO_sBM_c01_d13_mLO0_ch10,30.0,359,12.712488654634708,38.79316980080146,22.794869450375778,20.64295166578657,0.04178272980501393,5,0.16666666666666666,1.1895045428190087,GOOD,11.58506787421146,35.75754322136167,20.67936592179277,21.043006355713807,0.019498607242339833,4,0.13333333333333333,1.600152883487553,GOOD,4.596736860850745,9.631364590296707,0.0,0,0.0,0.0,GOOD,GOOD,none
